matrix,threads,mode,chunkSize,time
2,32,0,1,0.000331879
2,32,0,10,0.00029397
2,32,0,100,0.000386
2,32,0,1000,0.000480175
2,32,1,1,0.00389814
2,32,1,10,0.000529051
2,32,1,100,0.000463009
2,32,1,1000,0.000533104
2,32,2,1,0.000477076
2,32,2,10,0.000506163
2,32,2,100,0.000477791
2,32,2,1000,0.000558853
2,64,0,1,0.000236988
2,64,0,10,0.000202894
2,64,0,100,0.00032115
2,64,0,1000,0.000538826
2,64,1,1,0.00197506
2,64,1,10,0.00212407
2,64,1,100,0.00229883
2,64,1,1000,0.00058198
2,64,2,1,0.000333071
2,64,2,10,0.000960112
2,64,2,100,0.000562906
2,64,2,1000,0.000583887
3,1,-1,-1,0.00483799
3,2,0,1,0.0030241
3,2,0,10,0.00205588
3,2,0,100,0.00192189
3,2,0,1000,0.00191689
3,2,1,1,0.0036211
3,2,1,10,0.00217414
3,2,1,100,0.00217319
3,2,1,1000,0.00194597
3,2,2,1,0.0019629
3,2,2,10,0.00193691
3,2,2,100,0.00196791
3,2,2,1000,0.00201511
3,4,0,1,0.00163507
3,4,0,10,0.00102019
3,4,0,100,0.00098896
3,4,0,1000,0.00103211
3,4,1,1,0.00341797
3,4,1,10,0.00113702
3,4,1,100,0.00100398
3,4,1,1000,0.00115609
3,4,2,1,0.000990152
3,4,2,10,0.000983
3,4,2,100,0.000984907
3,4,2,1000,0.00102806
3,8,0,1,0.00100899
3,8,0,10,0.000539064
3,8,0,100,0.00050807
3,8,0,1000,0.000574112
3,8,1,1,0.00362396
3,8,1,10,0.00061512
3,8,1,100,0.00052309
3,8,1,1000,0.000582933
3,8,2,1,0.000529051
3,8,2,10,0.000511885
3,8,2,100,0.000512838
3,8,2,1000,0.000625849
3,16,0,1,0.000771046
3,16,0,10,0.000288963
3,16,0,100,0.000273943
3,16,0,1000,0.000339985
3,16,1,1,0.00296903
3,16,1,10,0.000415087
3,16,1,100,0.000298977
3,16,1,1000,0.000348806
3,16,2,1,0.000307083
3,16,2,10,0.000287056
3,16,2,100,0.000292063
3,16,2,1000,0.000349045
3,32,0,1,0.000379086
3,32,0,10,0.000185013
3,32,0,100,0.000162125
3,32,0,1000,0.000276089
3,32,1,1,0.00271201
3,32,1,10,0.000370026
3,32,1,100,0.000244141
3,32,1,1000,0.000341177
3,32,2,1,0.000224829
3,32,2,10,0.000230789
3,32,2,100,0.000263929
3,32,2,1000,0.000360012
3,64,0,1,0.000298023
3,64,0,10,0.000138044
3,64,0,100,0.000144958
3,64,0,1000,0.000320911
3,64,1,1,0.00116801
3,64,1,10,0.000441074
3,64,1,100,0.00169992
3,64,1,1000,0.00037694
3,64,2,1,0.0019331
3,64,2,10,0.000880003
3,64,2,100,0.001544
3,64,2,1000,0.000329971
4,1,-1,-1,0.00275302
4,2,0,1,0.00208092
4,2,0,10,0.00134397
4,2,0,100,0.00119805
4,2,0,1000,0.00114894
4,2,1,1,0.0116539
4,2,1,10,0.00228786
4,2,1,100,0.00130701
4,2,1,1000,0.00112295
4,2,2,1,0.00131607
4,2,2,10,0.00137186
4,2,2,100,0.00135207
4,2,2,1000,0.00138617
4,4,0,1,0.00104713
4,4,0,10,0.000754833
4,4,0,100,0.000610113
4,4,0,1000,0.000602961
4,4,1,1,0.0150001
4,4,1,10,0.00202012
4,4,1,100,0.000706196
4,4,1,1000,0.000590801
4,4,2,1,0.000797033
4,4,2,10,0.000843048
4,4,2,100,0.000854969
4,4,2,1000,0.000843048
4,8,0,1,0.00057888
4,8,0,10,0.000566006
4,8,0,100,0.000343084
4,8,0,1000,0.000333071
4,8,1,1,0.0191631
4,8,1,10,0.00218511
4,8,1,100,0.000394821
4,8,1,1000,0.000314951
4,8,2,1,0.000540018
4,8,2,10,0.000555992
4,8,2,100,0.000562906
4,8,2,1000,0.000575066
4,16,0,1,0.000391006
4,16,0,10,0.000358105
4,16,0,100,0.000188112
4,16,0,1000,0.000189781
4,16,1,1,0.0185261
4,16,1,10,0.00187397
4,16,1,100,0.000276089
4,16,1,1000,0.000193834
4,16,2,1,0.00027895
4,16,2,10,0.000290871
4,16,2,100,0.000324011
4,16,2,1000,0.00030303
4,32,0,1,0.000288963
4,32,0,10,0.000209093
4,32,0,100,0.000125885
4,32,0,1000,0.000146151
4,32,1,1,0.0169089
4,32,1,10,0.00165796
4,32,1,100,0.000256062
4,32,1,1000,0.00106406
4,32,2,1,0.000204086
4,32,2,10,0.000203848
4,32,2,100,0.000197887
4,32,2,1000,0.000202894
4,64,0,1,0.000226021
4,64,0,10,0.000161886
4,64,0,100,9.29832e-05
4,64,0,1000,0.000127077
4,64,1,1,0.0159421
4,64,1,10,0.00158501
4,64,1,100,0.000257015
4,64,1,1000,9.39369e-05
4,64,2,1,0.000288963
4,64,2,10,0.000666857
4,64,2,100,0.000648022
4,64,2,1000,0.000580072
