matrix,threads,mode,chunkSize,cycles,instructions,cache-references,cache-misses,LLC-loads,LLC-load-misses
1,2,2,1000,6200524506,15254792779,2107477,837110,12073,6678
1,4,0,1,6216140362,15256777620,2533815,1387721,34317,24897
1,4,0,10,6205403398,15255245239,2276191,1009944,19182,11709
1,4,0,100,6201806997,15255062764,2159945,951316,15680,8634
1,4,0,1000,6205935158,15255293993,2112820,937887,13623,7397
1,4,1,1,6245021399,15255679094,2651910,1500545,66928,58365
1,4,1,10,6202095677,15254917721,2231420,1019888,22681,14797
1,4,1,100,6201721043,15254969919,2151845,934729,15472,8902
1,4,1,1000,6211669773,15255274855,2151513,950896,13506,7435
1,4,2,1,6200364935,15254917110,2104557,918221,13903,7231
1,4,2,10,6215395784,15254924991,2095139,912609,13923,7111
1,4,2,100,6196961565,15254955414,2138919,910556,13778,7192
1,4,2,1000,6202156137,15255143060,2076331,924918,13521,7292
1,8,0,1,6264644828,15257265128,2673495,1391747,44819,27922
1,8,0,10,6237760371,15255804787,2356048,1012280,25568,13049
1,8,0,100,6243131566,15255552049,2253636,963352,18830,9708
1,8,0,1000,6239571307,15256044689,2166735,927695,14991,8143
1,8,1,1,6306260241,15256189559,2745569,1362572,84430,51897
1,8,1,10,6244119526,15255392489,2323676,1029775,29668,15042
1,8,1,100,6228127286,15255418197,2201149,964417,18455,9538
1,8,1,1000,6234030540,15255848766,2142551,960478,15175,7947
1,8,2,1,6265221687,15255425072,2182859,949339,16241,8592
1,8,2,10,6230178662,15255495523,2175886,952529,16239,8147
1,8,2,100,6228494559,15255405569,2174524,939806,15777,8201
1,8,2,1000,6252299258,15255538691,2154059,957923,15212,7893
1,16,0,1,6369534013,15258341500,2791543,1335832,58437,31654
1,16,0,10,6426262205,15256849705,2339538,1000778,33612,16788
1,16,0,100,6324699914,15256907531,2233460,976336,23202,10926
1,16,0,1000,6321080139,15259755566,2165325,937413,16836,8534
1,16,1,1,6460046052,15257117381,2843201,1332192,111793,50664
1,16,1,10,6346592892,15256476240,2322702,1005704,37679,17627
1,16,1,100,6317596081,15256776277,2220580,977959,23623,10641
1,16,1,1000,6317816523,15259777150,2177831,928152,16766,8390
1,16,2,1,6306599844,15256652522,2175972,941664,21080,9167
1,16,2,10,6317116028,15256588521,2210803,955800,20275,9493
1,16,2,100,6314767274,15256693583,2219928,956592,19806,9239
1,16,2,1000,6328708715,15260234421,2157354,931666,16766,8065
1,32,0,1,6645395346,15263207740,2890023,1288885,99377,34635
1,32,0,10,6558578024,15261620891,2384601,1000797,41050,17985
