matrix,threads,mode,chunkSize,time
2,32,0,10,0.000812054
2,32,0,100,0.00123882
2,32,0,1000,0.00152993
2,32,1,1,0.00246596
2,32,1,10,0.000559807
2,32,1,100,0.000816107
2,32,1,1000,0.00152397
2,32,2,1,0.00125217
2,32,2,10,0.00126195
2,32,2,100,0.00126386
2,32,2,1000,0.00151706
2,64,0,1,0.000504017
2,64,0,10,0.000519037
2,64,0,100,0.000868082
2,64,0,1000,0.00154495
2,64,1,1,0.00264287
2,64,1,10,0.000370979
2,64,1,100,0.00058198
2,64,1,1000,0.00155401
2,64,2,1,0.00069499
2,64,2,10,0.000740051
2,64,2,100,0.000684023
2,64,2,1000,0.00155401
3,1,-1,-1,0.00480199
3,2,0,1,0.00437593
3,2,0,10,0.00346494
3,2,0,100,0.002774
3,2,0,1000,0.00280094
3,2,1,1,0.00453305
3,2,1,10,0.00298905
3,2,1,100,0.002877
3,2,1,1000,0.00305104
3,2,2,1,0.00352311
3,2,2,10,0.00307202
3,2,2,100,0.00349402
3,2,2,1000,0.00354409
3,4,0,1,0.00290489
3,4,0,10,0.00327301
3,4,0,100,0.00312805
3,4,0,1000,0.00300097
3,4,1,1,0.00310397
3,4,1,10,0.00239992
3,4,1,100,0.00204015
3,4,1,1000,0.00233793
3,4,2,1,0.00251317
3,4,2,10,0.00250697
3,4,2,100,0.00144911
3,4,2,1000,0.00247002
3,8,0,1,0.00200796
3,8,0,10,0.00167108
3,8,0,100,0.00163007
3,8,0,1000,0.00162101
3,8,1,1,0.00241518
3,8,1,10,0.00116587
3,8,1,100,0.00114107
3,8,1,1000,0.00159812
3,8,2,1,0.00146294
3,8,2,10,0.00135303
3,8,2,100,0.0011611
3,8,2,1000,0.00135303
3,16,0,1,0.00107098
3,16,0,10,0.000838995
3,16,0,100,0.000847101
3,16,0,1000,0.000834942
3,16,1,1,0.00211191
3,16,1,10,0.000645876
3,16,1,100,0.000679016
3,16,1,1000,0.000843048
3,16,2,1,0.00074482
3,16,2,10,0.000740051
3,16,2,100,0.000751019
3,16,2,1000,0.000838041
3,32,0,1,0.000626087
3,32,0,10,0.000458002
3,32,0,100,0.000468016
3,32,0,1000,0.000849962
3,32,1,1,0.00178099
3,32,1,10,0.000317097
3,32,1,100,0.000399828
3,32,1,1000,0.000862122
3,32,2,1,0.000431061
3,32,2,10,0.000446081
3,32,2,100,0.000433922
3,32,2,1000,0.000862122
3,64,0,1,0.000406027
3,64,0,10,0.000289917
3,64,0,100,0.000319958
3,64,0,1000,0.000880003
3,64,1,1,0.00178885
3,64,1,10,0.000332117
3,64,1,100,0.000370979
3,64,1,1000,0.000872135
3,64,2,1,0.000451088
3,64,2,10,0.000393152
3,64,2,100,0.000375032
3,64,2,1000,0.00087595
4,1,-1,-1,0.00281882
4,2,0,1,0.00285006
4,2,0,10,0.002563
4,2,0,100,0.00307703
4,2,0,1000,0.00237608
4,2,1,1,0.0135589
4,2,1,10,0.00349498
4,2,1,100,0.00198197
4,2,1,1000,0.00184107
4,2,2,1,0.00280809
4,2,2,10,0.00253296
4,2,2,100,0.00330114
4,2,2,1000,0.00223994
4,4,0,1,0.00345397
4,4,0,10,0.00230598
4,4,0,100,0.00203991
4,4,0,1000,0.00206804
4,4,1,1,0.0150521
4,4,1,10,0.00261998
4,4,1,100,0.00128293
4,4,1,1000,0.00120616
4,4,2,1,0.00257897
4,4,2,10,0.00152302
4,4,2,100,0.00163698
4,4,2,1000,0.00148487
4,8,0,1,0.00183797
4,8,0,10,0.0013659
4,8,0,100,0.00103402
4,8,0,1000,0.00100899
4,8,1,1,0.0123749
4,8,1,10,0.0016799
4,8,1,100,0.000571012
4,8,1,1000,0.000735044
4,8,2,1,0.00158405
4,8,2,10,0.00157309
4,8,2,100,0.00111914
4,8,2,1000,0.00157404
4,16,0,1,0.00111103
4,16,0,10,0.000646114
4,16,0,100,0.000550985
4,16,0,1000,0.000593901
4,16,1,1,0.0117719
4,16,1,10,0.00125718
4,16,1,100,0.000403881
4,16,1,1000,0.000440121
4,16,2,1,0.000877142
4,16,2,10,0.000908852
4,16,2,100,0.000877142
4,16,2,1000,0.00087285
4,32,0,1,0.000703096
4,32,0,10,0.000423193
4,32,0,100,0.00030899
4,32,0,1000,0.000429869
4,32,1,1,0.0105782
4,32,1,10,0.00106597
4,32,1,100,0.000242949
4,32,1,1000,0.00029397
4,32,2,1,0.00048399
4,32,2,10,0.000481129
4,32,2,100,0.000494003
4,32,2,1000,0.000495911
4,64,0,1,0.000455141
4,64,0,10,0.000259161
4,64,0,100,0.000210047
4,64,0,1000,0.000292063
4,64,1,1,0.0107269
4,64,1,10,0.00103092
4,64,1,100,0.00017786
4,64,1,1000,0.000241995
4,64,2,1,0.000579834
4,64,2,10,0.000440121
4,64,2,100,0.000307083
4,64,2,1000,0.000313997
